date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:11:34	3208/3208	---M--	200	added ('OK')	image/gif	date:Wed,%2013%20Apr%202016%2018:32:47%20GMT	https://krazydad.com/tablet/img/ajax-loader.gif	F:/2/krazydad.com/tablet/img/ajax-loader.gif	(from https://krazydad.com/tablet/vslitherlink/)
10:11:35	439/439	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Apr%202016%2018:32:48%20GMT	https://krazydad.com/tablet/img/delete_32.png	F:/2/krazydad.com/tablet/img/delete_32.png	(from https://krazydad.com/tablet/vslitherlink/)
10:11:35	684/684	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Apr%202020%2023:18:41%20GMT	https://krazydad.com/tablet/img/yellow_32.png	F:/2/krazydad.com/tablet/img/yellow_32.png	(from https://krazydad.com/tablet/vslitherlink/)
10:11:36	684/684	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Apr%202020%2023:18:41%20GMT	https://krazydad.com/tablet/img/cyan_32.png	F:/2/krazydad.com/tablet/img/cyan_32.png	(from https://krazydad.com/tablet/vslitherlink/)
10:11:37	301/301	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Apr%202020%2023:18:41%20GMT	https://krazydad.com/tablet/img/question_32.png	F:/2/krazydad.com/tablet/img/question_32.png	(from https://krazydad.com/tablet/vslitherlink/)
10:11:37	445/445	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Apr%202016%2018:32:48%20GMT	https://krazydad.com/tablet/img/left_32.png	F:/2/krazydad.com/tablet/img/left_32.png	(from https://krazydad.com/tablet/vslitherlink/)
10:11:38	434/434	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Apr%202016%2018:32:49%20GMT	https://krazydad.com/tablet/img/right_32.png	F:/2/krazydad.com/tablet/img/right_32.png	(from https://krazydad.com/tablet/vslitherlink/)
10:11:39	566/566	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Mar%202017%2023:54:22%20GMT	https://krazydad.com/tablet/img/book_32.png	F:/2/krazydad.com/tablet/img/book_32.png	(from https://krazydad.com/tablet/vslitherlink/)
10:11:39	533/533	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Apr%202016%2018:33:51%20GMT	https://krazydad.com/tablet/img/undo_32.png	F:/2/krazydad.com/tablet/img/undo_32.png	(from https://krazydad.com/tablet/vslitherlink/)
10:11:40	534/534	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Apr%202016%2018:33:55%20GMT	https://krazydad.com/tablet/img/redo_32.png	F:/2/krazydad.com/tablet/img/redo_32.png	(from https://krazydad.com/tablet/vslitherlink/)
10:11:40	648/648	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Apr%202016%2018:32:49%20GMT	https://krazydad.com/tablet/img/settings_32.png	F:/2/krazydad.com/tablet/img/settings_32.png	(from https://krazydad.com/tablet/vslitherlink/)
10:11:42	29115/29115	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2003%20May%202017%2022:42:10%20GMT	https://krazydad.com/tablet/js/bootstrap.min.js	F:/2/krazydad.com/tablet/js/bootstrap.min.js	(from https://krazydad.com/tablet/vslitherlink/)
10:11:43	3836/3836	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2003%20May%202017%2022:42:10%20GMT	https://krazydad.com/tablet/js/bootstrap-toggle.min.js	F:/2/krazydad.com/tablet/js/bootstrap-toggle.min.js	(from https://krazydad.com/tablet/vslitherlink/)
10:11:44	9172/9172	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2003%20May%202017%2022:42:10%20GMT	https://krazydad.com/tablet/js/jquery.bootstrap-touchspin.min.js	F:/2/krazydad.com/tablet/js/jquery.bootstrap-touchspin.min.js	(from https://krazydad.com/tablet/vslitherlink/)
10:11:44	474/474	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2021%20Jan%202018%2022:12:32%20GMT	https://krazydad.com/tablet/js/puzzOverrideDefaults.min.js	F:/2/krazydad.com/tablet/js/puzzOverrideDefaults.min.js	(from https://krazydad.com/tablet/vslitherlink/)
10:11:45	11186/11186	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2010%20Jan%202018%2022:34:46%20GMT	https://krazydad.com/tablet/js/kdvslitherlinklib.js	F:/2/krazydad.com/tablet/js/kdvslitherlinklib.js	(from https://krazydad.com/tablet/vslitherlink/)
10:11:45	9768/9768	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2003%20May%202017%2022:42:16%20GMT	https://krazydad.com/tablet/js/tiling_penrose_sm.js	F:/2/krazydad.com/tablet/js/tiling_penrose_sm.js	(from https://krazydad.com/tablet/vslitherlink/)
10:11:46	8798/8798	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2005%20Jun%202020%2003:07:45%20GMT	https://krazydad.com/tablet/js/slitherlinkUtils.min.js	F:/2/krazydad.com/tablet/js/slitherlinkUtils.min.js	(from https://krazydad.com/tablet/vslitherlink/)
10:11:47	7073/7073	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2003%20May%202017%2022:42:17%20GMT	https://krazydad.com/tablet/js/vslitherlinkUtils.js	F:/2/krazydad.com/tablet/js/vslitherlinkUtils.js	(from https://krazydad.com/tablet/vslitherlink/)
10:11:47	10170/10170	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2026%20Sep%202020%2018:19:56%20GMT	https://krazydad.com/tablet/js/puzUtils.min.js	F:/2/krazydad.com/tablet/js/puzUtils.min.js	(from https://krazydad.com/tablet/vslitherlink/)
10:11:47	1993/1993	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2005%20Jun%202020%2020:28:02%20GMT	https://krazydad.com/tablet/js/vloopUtils.min.js	F:/2/krazydad.com/tablet/js/vloopUtils.min.js	(from https://krazydad.com/tablet/vslitherlink/)
